date,Hour,Load_Station1,Load_Station2
1398/02/23,1,18.192764,9.863888
1398/02/24,1,17.948172,10.132684
1398/02/25,1,18.282224,9.418752
1398/02/26,1,18.076656,9.6768
1398/02/27,1,16.481572,9.362844
1398/02/28,1,22.794704,9.823028
1398/02/29,1,17.679096,9.969256
1398/02/30,1,18.177752,9.803676
1398/02/31,1,18.05158,10.076776
1398/03/01,1,12.250176,10.190748
1398/03/02,1,23.018976,10.083228
1398/03/03,1,17.647188,9.777868
1398/03/04,1,13.038736,8.54784
1398/03/05,1,18.057028,8.653212
1398/03/06,1,6.752904,8.689768
1398/03/07,1,5.601884,9.008028
1398/03/08,1,6.239836,8.97792
1398/03/09,1,6.792112,9.431656
1398/03/10,1,17.687596,0.0
1398/03/11,1,16.58586,9.655296
1398/03/12,1,13.113464,9.431656
1398/03/13,1,17.677068,9.973556
1398/03/14,1,14.98676,9.956352
1398/03/15,1,17.939764,9.29188
1398/03/16,1,17.938748,8.954268
1398/03/17,1,12.917592,9.616588
1398/03/18,1,18.160392,9.597236
1398/03/19,1,18.095132,9.210164
1398/03/20,1,22.814748,8.666112
1398/03/21,1,12.728928,9.709056
1398/03/22,1,18.346792,9.371444
1398/03/23,1,18.4605,9.541324
1398/03/24,1,18.387988,9.971404
1398/03/25,1,17.89358,9.863888
1398/03/26,1,18.20394,10.132684
1398/03/27,1,13.010052,9.418752
1398/03/28,1,18.346792,9.6768
1398/03/29,1,18.4605,9.362844
1398/03/30,1,18.387988,9.823028
1398/03/31,1,17.89358,9.969256
,1,2245.344644,2388.4233
,1,2245.344644,2495.701231
,1,2245.344644,2820.724959
,1,2245.344644,1892.989044
,1,2245.344644,2440.057686
1398/04/01,1,28.007616,18.20394
1398/04/02,1,22.994368,12.917592
1398/04/03,1,28.35114,18.160392
1398/04/04,1,28.17836,18.095132
1398/04/05,1,32.592616,22.814748
1398/04/06,1,21.276768,12.728928
1398/04/07,1,27.000004,18.346792
1398/04/08,1,27.150268,18.4605
1398/04/09,1,27.396016,18.387988
1398/04/10,1,26.8715,17.89358
1398/04/11,1,27.635596,18.20394
1398/04/12,1,22.665348,13.010052
1398/04/13,1,27.778448,18.346792
1398/04/14,1,28.434056,18.4605
1398/04/15,1,28.34434,18.387988
1398/04/16,1,28.484456,19.192576
1398/04/17,1,24.42874,15.474472
1398/04/18,1,17.1374,7.520812
1398/04/19,1,16.134872,6.537636
1398/04/20,1,31.674736,22.464572
1398/04/21,1,27.858688,19.192576
1398/04/22,1,25.183528,15.474472
1398/04/23,1,16.892256,7.520812
1398/04/24,1,16.07896,6.537636
1398/04/25,1,16.890988,6.919584
1398/04/26,1,26.36334,16.499452
1398/04/27,1,28.08732,17.954636
1398/04/28,1,24.810736,15.391984
1398/04/29,1,27.556388,17.879588
1398/04/30,1,27.796184,18.43334
1398/04/31,1,27.74404,17.921012
1398/05/01,1,28.319928,18.350672
1398/05/02,1,27.581332,17.777656
1398/05/03,1,28.522496,18.44572
1398/05/04,1,23.099148,12.9084
1398/05/05,1,26.850364,16.767136
1398/05/06,1,27.876184,18.098316
1398/05/07,1,26.784712,18.236872
1398/05/08,1,21.539444,12.886232
1398/05/09,1,23.569932,14.880164
1398/05/10,1,26.534812,17.526784
1398/05/11,1,26.751096,17.773176
1398/05/12,1,22.346016,12.91436
1398/05/13,1,25.233732,15.578436
1398/05/14,1,27.54286,18.111204
1398/05/15,1,25.939756,15.9662
1398/05/16,1,23.18112,13.224768
1398/05/17,1,27.545796,18.253916
1398/05/18,1,27.204536,18.250268
1398/05/19,1,27.525408,17.90882
1398/05/20,1,32.371016,22.77378
1398/05/21,1,27.607848,18.397684
1398/05/22,1,27.099408,18.433296
1398/05/23,1,23.103136,13.39408
1398/05/24,1,28.283812,18.912368
1398/05/25,1,27.828168,18.286844
1398/05/26,1,23.196172,13.224768
1398/05/27,1,28.117804,18.253916
1398/05/28,1,28.382952,18.250268
1398/05/29,1,27.327572,17.90882
1398/05/30,1,32.45058,22.77378
1398/05/31,1,27.760528,18.397684
1398/06/01,1,28.256324,18.433296
1398/06/02,1,23.363336,13.39408
1398/06/03,1,28.716044,18.912368
1398/06/04,1,26.919472,16.842696
1398/06/05,1,27.758772,17.568024
1398/06/06,1,27.817752,17.734524
